movieID,title,year,genres_str,directorName,actors_str,tags_str,content_soup,primary_genre
1,Toy story,1995,Adventure Animation Children Comedy Fantasy,john_lasseter,don_rickles jim_varney tim_allen tom_hanks wallace_shawn,animation pixar disney toys computer_animation time_travel tim_allen comedy tom_hanks adventure,Adventure Animation Children Comedy Fantasy Adventure Animation Children Comedy Fantasy john_lasseter don_rickles jim_varney tim_allen tom_hanks wallace_shawn animation pixar disney toys computer_animation time_travel tim_allen comedy tom_hanks adventure,Adventure
2,Jumanji,1995,Adventure Children Fantasy,joe_johnston,bebe_neuwirth bonnie_hunt bradley_pierce kirsten_dunst robin_williams,robin_williams animals fantasy board_game time_travel game children scary adapted_from:book jungle,Adventure Children Fantasy Adventure Children Fantasy joe_johnston bebe_neuwirth bonnie_hunt bradley_pierce kirsten_dunst robin_williams robin_williams animals fantasy board_game time_travel game children scary adapted_from:book jungle,Adventure
3,Grumpy Old Men,1993,Comedy Romance,donald_petrie,ann-margret burgess_meredith daryl_hannah jack_lemmon walter_matthau,old funniest_movies sequel_fever jack_lemmon walter_matthau grun_running,Comedy Romance Comedy Romance donald_petrie ann-margret burgess_meredith daryl_hannah jack_lemmon walter_matthau old funniest_movies sequel_fever jack_lemmon walter_matthau grun_running,Comedy
4,Waiting to Exhale,1995,Comedy Drama Romance,forest_whitaker,angela_bassett gregory_hines lela_rochon loretta_devine whitney_houston,,Comedy Drama Romance Comedy Drama Romance forest_whitaker angela_bassett gregory_hines lela_rochon loretta_devine whitney_houston,Comedy
5,Father of the Bride Part II,1995,Comedy,charles_shyer,diane_keaton george_newbern kimberly_williams martin_short steve_martin,family wedding pregnancy childhood_classics sequel remake sequel_fever watched_under_duress,Comedy Comedy charles_shyer diane_keaton george_newbern kimberly_williams martin_short steve_martin family wedding pregnancy childhood_classics sequel remake sequel_fever watched_under_duress,Comedy
6,Heat,1995,Action Crime Thriller,michael_mann,al_pacino jon_voight robert_de_niro tom_sizemore val_kilmer,too_long cant_remember recommendz_top_pick imdb_top_250 witty bibliothek robert_de_niro tense bleak clearplay,Action Crime Thriller Action Crime Thriller michael_mann al_pacino jon_voight robert_de_niro tom_sizemore val_kilmer too_long cant_remember recommendz_top_pick imdb_top_250 witty bibliothek robert_de_niro tense bleak clearplay,Action
7,Sabrina,1954,Comedy Romance,billy_wilder,john_williams_(ii) audrey_hepburn humphrey_bogart walter_hampden william_holden,remake romance greg_kinnear chick_flick harrison_ford sexuality relationships based_on_a_play remakeof:sabrina(1954) remadeas:sabrina(1995),Comedy Romance Comedy Romance billy_wilder john_williams_(ii) audrey_hepburn humphrey_bogart walter_hampden william_holden remake romance greg_kinnear chick_flick harrison_ford sexuality relationships based_on_a_play remakeof:sabrina(1954) remadeas:sabrina(1995),Comedy
8,Tom and Huck,1995,Adventure Children,peter_hewitt,amy_wright brad_renfro charles_rocket eric_schweig jonathan_taylor_thomas,adapted_from:book author:mark_twain,Adventure Children Adventure Children peter_hewitt amy_wright brad_renfro charles_rocket eric_schweig jonathan_taylor_thomas adapted_from:book author:mark_twain,Adventure
9,Sudden Death,1995,Action,peter_hyams,jean-claude_van_damme powers_boothe raymond_j._barry ross_malinger whittni_wright,cant_remember jeanclaude_van_damme,Action Action peter_hyams jean-claude_van_damme powers_boothe raymond_j._barry ross_malinger whittni_wright cant_remember jeanclaude_van_damme,Action
10,GoldenEye,1995,Action Adventure Thriller,martin_campbell,famke_janssen izabella_scorupco joe_don_baker pierce_brosnan sean_bean,bond james_bond action espionage sequel violence adventure assassin seen_more_than_once secret_service,Action Adventure Thriller Action Adventure Thriller martin_campbell famke_janssen izabella_scorupco joe_don_baker pierce_brosnan sean_bean bond james_bond action espionage sequel violence adventure assassin seen_more_than_once secret_service,Action
11,The American President,1995,Comedy Drama Romance,rob_reiner,annette_bening david_paymer martin_sheen michael_douglas michael_j._fox,president politics bibliothek seen_more_than_once aaron_sorkin girlie_movie cute amazing_kung_fu dvd_collection us_president,Comedy Drama Romance Comedy Drama Romance rob_reiner annette_bening david_paymer martin_sheen michael_douglas michael_j._fox president politics bibliothek seen_more_than_once aaron_sorkin girlie_movie cute amazing_kung_fu dvd_collection us_president,Comedy
12,Dracula: Dead and Loving It,1995,Comedy Horror,mel_brooks,amy_yasbeck leslie_nielsen lysette_anthony peter_macnicol steven_weber,gothic vampire spoof mel_brooks,Comedy Horror Comedy Horror mel_brooks amy_yasbeck leslie_nielsen lysette_anthony peter_macnicol steven_weber gothic vampire spoof mel_brooks,Comedy
13,Balto,1995,Animation Children,simon_wells,bob_hoskins bridget_fonda jim_cummings kevin_bacon lola_bates-campbell,dogsled,Animation Children Animation Children simon_wells bob_hoskins bridget_fonda jim_cummings kevin_bacon lola_bates-campbell dogsled,Animation
14,Nixon,1995,Drama,oliver_stone,anthony_hopkins bob_hoskins ed_harris joan_allen powers_boothe,biopic president oliver_stone biography politics anthony_hopkins political_drama own biographical us_president,Drama Drama oliver_stone anthony_hopkins bob_hoskins ed_harris joan_allen powers_boothe biopic president oliver_stone biography politics anthony_hopkins political_drama own biographical us_president,Drama
15,Cutthroat Island,1995,Action Adventure Romance,renny_harlin,frank_langella geena_davis matthew_modine maury_chaykin patrick_malahide,pirates pirate,Action Adventure Romance Action Adventure Romance renny_harlin frank_langella geena_davis matthew_modine maury_chaykin patrick_malahide pirates pirate,Action
16,Casino,1995,Crime Drama,martin_scorsese,don_rickles james_woods joe_pesci robert_de_niro sharon_stone,martin_scorsese mafia based_on_a_book scorcese masterpiece nonfiction gangster imdb_top_250 on_dvr violent,Crime Drama Crime Drama martin_scorsese don_rickles james_woods joe_pesci robert_de_niro sharon_stone martin_scorsese mafia based_on_a_book scorcese masterpiece nonfiction gangster imdb_top_250 on_dvr violent,Crime
17,Sense and Sensibility,1995,Comedy Drama Romance,ang_lee,alan_rickman emma_thompson hugh_grant james_fleet kate_winslet,based_on_a_book chick_flick emma_thompson historical literature great_screenplays ang_lee boring bibliothek classic,Comedy Drama Romance Comedy Drama Romance ang_lee alan_rickman emma_thompson hugh_grant james_fleet kate_winslet based_on_a_book chick_flick emma_thompson historical literature great_screenplays ang_lee boring bibliothek classic,Comedy
18,Four Rooms,1995,Comedy Drama Thriller,alexandre_rockwell,antonio_banderas jennifer_beals quentin_tarantino tim_roth valeria_golino,tarantino nudity_(topless) quentin_tarantino robert_rodriguez multiple_storylines own tumeys_vhs,Comedy Drama Thriller Comedy Drama Thriller alexandre_rockwell antonio_banderas jennifer_beals quentin_tarantino tim_roth valeria_golino tarantino nudity_(topless) quentin_tarantino robert_rodriguez multiple_storylines own tumeys_vhs,Comedy
19,Ace Ventura: When Nature Calls,1995,Comedy,steve_oedekerk,bob_gunton ian_mcneice jim_carrey maynard_eziashi simon_callow,jim_carrey comedy crazy steve_oedekerk,Comedy Comedy steve_oedekerk bob_gunton ian_mcneice jim_carrey maynard_eziashi simon_callow jim_carrey comedy crazy steve_oedekerk,Comedy
20,Money Train,1995,Action Comedy Crime Drama Thriller,joseph_ruben,chris_cooper jennifer_lopez robert_blake wesley_snipes woody_harrelson,money afternoon_section lame,Action Comedy Crime Drama Thriller Action Comedy Crime Drama Thriller joseph_ruben chris_cooper jennifer_lopez robert_blake wesley_snipes woody_harrelson money afternoon_section lame,Action
21,Get Shorty,1995,Action Comedy Drama,barry_sonnenfeld,danny_devito dennis_farina gene_hackman john_travolta rene_russo,hollywood mafia gene_hackman satire:hollywood_insiders satire crime owned foqam watch travolta,Action Comedy Drama Action Comedy Drama barry_sonnenfeld danny_devito dennis_farina gene_hackman john_travolta rene_russo hollywood mafia gene_hackman satire:hollywood_insiders satire crime owned foqam watch travolta,Action
22,Copycat,1995,Crime Drama Horror Mystery Thriller,jon_amiel,dermot_mulroney holly_hunter sigourney_weaver will_patton william_mcnamara,serial_killer,Crime Drama Horror Mystery Thriller Crime Drama Horror Mystery Thriller jon_amiel dermot_mulroney holly_hunter sigourney_weaver will_patton william_mcnamara serial_killer,Crime
